"profileId","testId","modifiedDateUtc","testDateUtc","testTypeId","testTypeName","notes","device","leftAvgForce","leftImpulse","leftMaxForce","leftTorque","leftCalibration","leftRepetitions","rightAvgForce","rightImpulse","rightMaxForce","rightTorque","rightCalibration","rightRepetitions"
"c5c0b417-5604-4c62-87eb-f6efb37e55e9","1a84b411-df30-4f53-a100-d8a2353dea14","2025-01-10T12:51:59.318Z","2025-01-10T12:51:58.988Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",329.5,1496.9650000000004,329.5,143.82675,0,1,370.25,1560.3299999999988,370.25,161.614125,0,1
"22716f70-c8cf-446b-954f-b6b7f39bc6da","e24c3812-8903-4113-9a24-c4d1aec5899d","2025-01-10T12:52:34.831Z","2025-01-10T12:52:34.474Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",338.875,3036.774999999999,345.75,157.143375,0,2,312.875,3118.9100000000017,319,144.9855,0,2
"9cd14119-e128-4bdd-807d-8e68e855e711","e1c6ea47-28a6-4efe-b2e6-a8755f48d726","2025-01-10T12:53:28.147Z","2025-01-10T12:53:27.777Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",269.625,3134.695000000002,279.75,107.004375,0,2,242.375,2465.795000000002,249.25,95.338125,0,2
"446bc415-1768-4b38-9444-859ac83c646c","f2626a0f-8276-4654-a1fc-34e4f5e06016","2025-01-10T12:54:10.474Z","2025-01-10T12:54:10.131Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",229.625,1776.415000000001,235.5,100.67625,0,2,227.375,1693.260000000001,232,99.17999999999999,0,2
"4a21f597-ac60-475f-b652-526af0d8f043","ed715e45-3975-486f-b4b4-a3253be5ad9c","2025-01-10T12:54:30.516Z","2025-01-10T12:54:30.218Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",284.75,4420.840000000001,335.25,155.388375,0,3,287.1666666666667,3590.2300000000027,348.5,161.52975,0,3
"5d98ab4b-cabe-4542-8208-2acb17a90860","e9b7178d-3127-4ff2-98f9-7229d46ad01f","2025-01-10T12:54:50.859Z","2025-01-10T12:54:50.633Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",177,924.7899999999998,179,76.5225,0,2,223.5,1462.8450000000007,240.5,102.81375,0,2
"a839dbef-7be1-4b43-b406-95d4c4a43ef9","555010be-d52a-46e8-af04-b165933b6b50","2025-01-10T12:55:30.521Z","2025-01-10T12:55:30.177Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",335.25,3620.73,340,145.35,0,2,336.25,3655.9399999999987,336.75,143.960625,0,2
"d538573a-f758-4f14-9b53-224490971ead","da917cc3-b499-4d86-afb8-082f8b773cb6","2025-01-10T12:55:45.689Z","2025-01-10T12:55:45.437Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",300.375,1964.6749999999997,312.25,133.486875,0,2,323.625,2230.7300000000005,333.5,142.57125,0,2
"3c12519b-a4a9-4dbe-9a17-78288888a598","47b6e35f-4d86-4678-8a68-931887fc20b3","2025-01-10T12:56:20.817Z","2025-01-10T12:56:20.357Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",323.375,3233.484999999999,330.5,147.23775,0,2,352.625,3348.6550000000016,355.75,158.486625,0,2
"c5265284-c8b5-4a84-af92-197e6a554f46","b8450b44-5218-42f2-aad9-c4b8eb01535e","2025-01-10T12:56:31.742Z","2025-01-10T12:56:31.607Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",256.5,1953.9150000000006,257,116.8065,0,2,276.875,1943.5250000000003,277.5,126.12375,0,2
"b88a63cc-9470-449a-bfbd-338358525069","6b0a66d5-bb0c-46f4-bee7-cd5a41515d8c","2025-01-10T12:57:18.887Z","2025-01-10T12:57:18.743Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",406.5,4253.915000000001,407.5,185.20875,0,2,377.625,3473.7700000000023,382.25,173.732625,0,2
"5872596e-188b-4d7a-a998-ef25754c348b","79ebccca-97a1-4654-9d5e-c21e56a8521d","2025-01-10T12:57:44.586Z","2025-01-10T12:57:44.094Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",358.5,6645.999999999995,365,156.0375,0,2,355.875,6101.900000000004,371.75,158.923125,0,2
"a47ab798-7730-4992-92ec-f2472143169b","b5ebb7d6-4535-414b-9e5e-eefe5eff0be4","2025-01-10T12:58:50.178Z","2025-01-10T12:58:49.915Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",318.5,2752.210000000001,323,149.7105,0,2,282.625,2197.2699999999995,284.5,131.86575000000002,0,2
"ee6014e8-5ae6-464a-8c5f-3305123afd37","ed4ab32e-e9e1-4f68-8de4-99d1e0c3842c","2025-01-10T12:59:01.717Z","2025-01-10T12:58:13.563Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",320,3120.655000000001,325.25,130.262625,0,2,323.375,3057.920000000001,324.75,130.062375,0,2
"39dfef38-80e9-4a9a-aa6f-2a25c19777d7","a702081b-e57d-4b52-85f6-4247194081cf","2025-01-10T12:59:02.096Z","2025-01-10T12:59:01.499Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",300.375,2417.5799999999967,308.25,137.325375,0,2,267.375,1858.7750000000012,273.25,121.732875,0,2
"9b28343e-cda1-4678-857c-ee3bf91a0a67","f63e4c98-7bb7-4c1f-8ab6-20df597daf05","2025-01-10T12:59:51.626Z","2025-01-10T12:59:51.368Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",298.875,1996.5749999999985,300.5,133.87275,0,2,325.375,2399.3599999999997,333.75,148.68562500000002,0,2
"75954b79-fe43-4c9a-9020-dd8b4b90a45f","b532a5f9-8862-4e88-b445-dc02d297a363","2025-01-10T13:00:04.015Z","2025-01-10T13:00:03.430Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",366.125,6344.749999999997,367.75,163.832625,0,2,320.5,5149.640000000007,320.75,142.894125,0,2
"9212638d-ddd8-47ff-a147-2a936acc05b9","62859215-7159-4efd-9e6a-73c889b7ffee","2025-01-10T13:00:47.488Z","2025-01-10T13:00:47.255Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",251.875,1485.1650000000004,288,128.304,0,2,247,1396.3350000000003,284.25,126.633375,0,2
"e1d65204-c4cc-4029-a2c2-387a4ebe57c2","0c702538-d6fa-411d-b0a9-d692629a93c9","2025-01-10T13:02:10.589Z","2025-01-10T13:02:10.291Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",307.875,2382.535,313,136.6245,0,2,299.625,2531.6349999999993,303.25,132.368625,0,2
"ad9e370e-2120-421e-8543-cae157491054","efbfd3ed-28ff-4ddc-b239-8b2249534967","2025-01-10T15:04:02.792Z","2025-01-10T15:04:02.474Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",304.875,3833.5399999999986,327.75,151.912125,0,2,324.125,4536.140000000003,345,159.9075,0,2
"a73e980e-3a4c-4f77-91a5-28ee94f3088f","3b4a2232-f092-4db8-a1f3-2af38acc05de","2025-01-10T17:50:52.117Z","2025-01-10T13:01:03.815Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",285.25,3446.3949999999986,293.5,136.03725,0,2,295.375,3924.3599999999997,300.25,139.165875,0,2
"3793f21d-8551-4fd4-af44-ba55c1f55e19","f81559f4-3b00-4ae6-aae1-bcdb7a5d00c6","2025-01-10T19:48:04.905Z","2025-01-10T19:48:04.667Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",347.625,1957.6100000000001,353.5,138.39525,0,2,320.25,2137.435000000001,320.75,125.573625,0,2
"8f9f97a8-b0df-40d9-8855-b902403da0f8","30baf8bf-1a58-42e8-add5-e3667fa99e77","2025-01-10T19:49:08.956Z","2025-01-10T19:49:08.717Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",299.6666666666667,4725.665000000002,348.75,142.813125,0,3,282.9166666666667,4646.025000000003,332.5,136.15875,0,3
"a5973a00-02ad-4b4d-955b-75516ec7d68b","c596c929-9d30-4051-827c-1ff0f7aacae9","2025-01-10T19:50:01.786Z","2025-01-10T19:50:01.543Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",279.5,3702.5300000000007,295.5,126.32625,0,2,312.375,3754.8849999999998,321,137.2275,0,2
"c3b9b31e-53e2-46c1-be80-dca7c157dcaa","5d7dd796-f3bb-4a80-951b-7659cf80ced9","2025-01-10T19:51:11.936Z","2025-01-10T19:51:11.684Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",307.125,4762.575000000001,307.25,131.349375,0,2,291.25,4244.565,295,126.1125,0,2
"8f1dc1de-6cb1-4fb4-be6a-c6e6b9f67958","64949c1e-d363-4c0f-a064-63f6b57e7bb2","2025-01-10T19:52:05.832Z","2025-01-10T19:52:05.690Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",285.375,3721.3850000000025,293.5,117.54675,0,2,331,5022.345000000001,334.75,134.067375,0,2
"a47e6d9b-d4db-4644-acc2-555a8d4030c4","a64c3d5e-9eab-4e17-b833-3bd773b65f00","2025-01-10T19:53:17.080Z","2025-01-10T19:53:16.811Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",284.875,5984.1,294,120.39300000000001,0,2,348,6927.2449999999935,353.25,144.655875,0,2
"534635e2-81e5-45e6-9309-ca4949f31537","dd4b648b-1c14-41dd-be1e-7933e2514a8d","2025-01-10T19:54:11.690Z","2025-01-10T19:54:11.461Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",359.875,5069.409999999999,364.25,152.438625,0,2,382.875,5270.29,389.5,163.00575,0,2
"44bc888f-e935-4dee-aea4-93e9cf8d6974","b2cc4446-d0ac-4e35-847b-9a80738195cf","2025-01-10T19:55:07.169Z","2025-01-10T19:55:06.946Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",358.5,3414.6849999999995,358.75,146.908125,0,2,349.75,3058.7649999999985,353.5,144.75825,0,2
"7209d72c-33d0-4ee0-9d04-80b5917ee8b5","f63fb3f4-3ed2-405b-84f4-0496e1e27e1c","2025-01-10T19:56:05.032Z","2025-01-10T19:56:04.802Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",291.5,3774.175000000003,292,124.83,0,2,308.875,4039.0199999999986,316,135.09,0,2
"4803f66c-c723-4bf9-ab66-1b9f48f664c6","5683ec62-4076-4c1d-94eb-824cb8a6acf8","2025-01-10T19:57:14.491Z","2025-01-10T19:57:14.257Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",262.25,2972.0500000000015,262.5,100.40625,0,2,296.75,3137.810000000003,300.5,114.94125,0,2
"e417573f-9e00-4908-9dcb-ac4f7e27a964","a48a794f-1762-45f6-a6e7-879cfe2a1c80","2025-01-10T19:58:47.038Z","2025-01-10T19:58:46.812Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",263.875,2183.585000000001,265,98.97750000000002,0,2,312.75,2797.4050000000007,318.5,118.95975000000001,0,2
"28d37e2e-7b15-422f-865a-5b99ff7c3acc","8b8a1b52-5fa6-4370-aba9-345956e53886","2025-01-10T19:59:52.133Z","2025-01-10T19:59:51.852Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",282.125,3661.879999999998,293.75,112.359375,0,2,307,4094.650000000003,313.25,119.81812500000001,0,2
"f5aa0995-c889-47bc-8389-9d25c11979c9","bf846ee9-3cb0-49ce-8100-d18789992bc8","2025-01-10T20:01:11.943Z","2025-01-10T20:01:11.652Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",308.625,3369.130000000002,311.5,127.55925,0,2,315.75,3447.2049999999986,316.75,129.709125,0,2
"6ed85332-d3d2-498f-be4c-3e01b1b82f18","a36779c1-4df0-4c67-9880-c7c600077612","2025-01-10T20:02:15.701Z","2025-01-10T20:02:15.505Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",305.625,2618.4400000000014,309.25,129.421125,0,2,335,2442.2300000000005,338.75,141.766875,0,2
"b32bcdcf-c6a6-4c1b-bc50-b81e0c0e0256","2368a3ae-3201-4fa8-b9ef-360a85140ae7","2025-01-10T20:03:32.296Z","2025-01-10T20:03:31.896Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",381.875,5239.465000000002,390.25,159.807375,0,2,423.875,5595.795000000002,424.25,173.730375,0,2
"9b48314b-6054-410e-9a7c-e7fb49f56df2","8dcfe7cd-e138-4f07-91d0-a04bb635c1b9","2025-01-10T20:04:27.324Z","2025-01-10T20:04:27.028Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",336.625,2922.925000000001,342.75,134.186625,0,2,366,3017.8699999999985,372,145.638,0,2
"c44d6155-b740-4f0c-8abb-76e24191845a","d847e057-7ddf-4064-a4ed-bd2ededf7750","2025-03-07T14:35:10.706Z","2025-03-07T14:35:10.560Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",175.9375,2785.4850000000006,186.25,72.916875,0,4,177.9375,2806.4799999999987,184.5,72.23175,0,4
"534635e2-81e5-45e6-9309-ca4949f31537","50330fe7-964c-4c5e-a639-84d60ee9ddd1","2025-03-17T19:45:59.218Z","2025-03-17T19:45:59.017Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",346.375,3185.5449999999973,356.75,149.299875,0,2,332.875,2926.6150000000016,354.75,148.462875,0,2
"6ed85332-d3d2-498f-be4c-3e01b1b82f18","0352f7dc-8ba8-4d3f-b235-ceb77eceb0c1","2025-03-17T19:46:51.477Z","2025-03-17T19:46:51.187Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",325.625,4228.125000000001,330.5,138.31425,0,2,317.25,4128.409999999996,325.75,136.32637499999998,0,2
"f5aa0995-c889-47bc-8389-9d25c11979c9","7a70f89d-4254-4473-ada6-71ef5bd73392","2025-03-17T19:47:55.259Z","2025-03-17T19:47:55.173Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",341.125,5028.659999999997,342.5,140.25375,0,2,349.375,4268.470000000003,350.5,143.52975,0,2
"8f9f97a8-b0df-40d9-8855-b902403da0f8","419222b8-42d3-4a44-924d-8fd1e9dd63b7","2025-03-17T19:48:21.224Z","2025-03-17T19:48:20.833Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",346.875,8733.885000000007,347.25,142.19887500000002,0,2,327.125,8118.059999999997,330.25,135.23737500000001,0,2
"28d37e2e-7b15-422f-865a-5b99ff7c3acc","f54430d9-93b4-4665-b79a-d3dcc88d4c77","2025-03-17T19:48:43.618Z","2025-03-17T19:48:43.525Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",325.75,3493.89,333.5,136.56825,0,2,340.75,3978.1050000000023,353,144.5535,0,2
"a47e6d9b-d4db-4644-acc2-555a8d4030c4","5c8ec3ae-6d37-4e1a-a3aa-bed16dbfe2b8","2025-03-17T19:49:25.166Z","2025-03-17T19:49:24.835Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",324,4878.754999999999,333,136.36350000000002,0,2,324.125,5494.72,324.25,132.78037500000002,0,2
"b32bcdcf-c6a6-4c1b-bc50-b81e0c0e0256","dde6e763-61df-428f-bd85-e1f7d8018a29","2025-03-17T19:49:37.652Z","2025-03-17T19:49:37.561Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",446.75,5639.305,455.5,190.62675,0,2,427.625,5727.859999999999,429.75,179.85037499999999,0,2
"9b48314b-6054-410e-9a7c-e7fb49f56df2","f82625f9-05c8-4f6e-baf0-23b9e0a206c1","2025-03-17T19:50:26.146Z","2025-03-17T19:50:25.439Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",389,5981.990000000002,394.25,154.348875,0,2,432.5,6063.990000000001,468.25,183.319875,0,2
"44bc888f-e935-4dee-aea4-93e9cf8d6974","ed3fc35e-d6d7-46ef-80f6-b75d3d7b8ab3","2025-03-17T19:50:42.346Z","2025-03-17T19:50:42.240Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",409.25,6371.4299999999985,422,172.80900000000003,0,2,400.375,5257.180000000002,410,167.895,0,2
"e417573f-9e00-4908-9dcb-ac4f7e27a964","9d8f60ba-49ab-4ff4-87af-23f856642c55","2025-03-17T19:51:43.410Z","2025-03-17T19:51:43.055Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",268.625,4997.435,279.5,104.39325000000001,0,2,303.125,5722.729999999996,306.75,114.57112500000002,0,2
"d1b349ee-834e-4f96-899d-46423a857574","ad6a357a-5adb-49f4-bdce-ffd6dba8ddb9","2025-03-17T19:51:47.803Z","2025-03-17T19:51:47.703Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",332.625,4049.6449999999995,348,145.638,0,2,312.625,3255.005000000001,342.5,143.33625,0,2
"4803f66c-c723-4bf9-ab66-1b9f48f664c6","1dfd0149-9c94-4cd8-bfc9-e4e13838615a","2025-03-17T19:52:41.311Z","2025-03-17T19:52:41.236Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",313,3330.6300000000024,320.25,122.495625,0,2,290.125,2612.33,298.5,114.17625,0,2
"7209d72c-33d0-4ee0-9d04-80b5917ee8b5","aafcaa86-73dd-4a62-88b6-b40a44af7aeb","2025-03-17T19:52:54.851Z","2025-03-17T19:52:54.516Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",300.375,4357.015000000002,302.75,129.425625,0,2,304.5,4541.040000000003,307.25,131.349375,0,2
"a5973a00-02ad-4b4d-955b-75516ec7d68b","74695607-120c-4e3d-a85d-870569365bac","2025-03-17T19:53:33.527Z","2025-03-17T19:53:33.434Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",338.125,4273.915000000002,342.75,128.01712500000002,0,2,350.25,3898.009999999999,355.25,132.685875,0,2
"d5c742de-20f6-4158-9b88-3506481b782a","56e98d50-afb7-4d71-9c21-f23740026c27","2025-03-17T19:54:01.903Z","2025-03-17T19:54:01.555Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",241.625,4680.17,248.75,104.10187499999999,0,2,256.625,5317.264999999996,261.75,109.54237499999999,0,2
"3793f21d-8551-4fd4-af44-ba55c1f55e19","0a11cf76-0784-4730-ab98-2d9740f4b0cd","2025-03-17T19:54:37.817Z","2025-03-17T19:54:37.693Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2121",309.5,4298.829999999998,318,124.497,0,2,326,4171.189999999999,344.5,134.87175,0,2
"8a1ec003-0f80-40ba-b925-8b4e33d97f7b","1a20629a-0311-4e13-bec2-d7b45eeaf424","2025-03-17T19:55:14.245Z","2025-03-17T19:55:14.000Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",302.375,2630.7249999999995,302.5,137.48625,0,2,295.875,2624.734999999999,303,137.7135,0,2
"9ffbdd27-65d9-467f-9880-f4bfb630885c","cc1af411-95f9-4738-bf70-12ccf0a70df8","2025-03-17T21:00:58.602Z","2025-03-17T21:00:58.272Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",485.75,4381.580000000001,497.25,217.049625,0,2,453.875,4276.9800000000005,472.75,206.355375,0,2
"343592ed-5890-48a8-9cc3-53f9d745f14e","723fec0b-9074-46b2-b134-577a90857671","2025-03-17T21:01:48.714Z","2025-03-17T21:01:48.342Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",408.375,4365.439999999998,409,171.16649999999998,0,2,428.25,4704.435000000001,434,181.629,0,2
"89c963a9-8e61-47fd-8fc1-4c3a0c700927","3953b91e-9523-4007-bd02-ee62ecd6b72d","2025-03-17T21:02:46.399Z","2025-03-17T21:02:46.020Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",400.375,5379.464999999998,401.25,182.368125,0,2,378.125,5325.454999999999,379.75,172.596375,0,2
"ec5ff02e-16ec-465c-9685-6fa27e2fec6b","3fbc0c11-f69b-4860-91b1-3d9d75f08bf6","2025-03-17T21:03:39.727Z","2025-03-17T21:03:39.379Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",324.25,3102.3599999999997,344.75,131.866875,0,2,378.625,3609.1700000000005,383.75,146.784375,0,2
"c3b9d571-0636-488a-a5c0-ae112e9f069c","c01bc95a-cb67-4353-9de5-a9c2f50ffa4e","2025-03-17T21:04:29.489Z","2025-03-17T21:04:29.143Z","596a6004-553f-4afa-aef0-1474903b462e","Nordic","","NordBord-2120",416.375,4964.459999999999,442.25,161.200125,0,2,506.75,5621.15,521,189.9045,0,2
